game_pk,home,away
744795,0,3
744796,4,7
744797,9,1
744798,3,6
744799,6,3
744800,4,1
744801,4,3
744802,0,1
744803,4,1
744804,5,1
744805,3,6
744806,1,14
744807,0,12
744808,3,5
744809,5,2
744810,6,7
744811,4,2
744812,6,1
744813,2,5
744814,1,3
744815,8,3
744816,4,6
744817,11,5
744818,2,2
744819,5,9
744820,4,4
744821,1,4
744822,4,7
744823,6,4
744824,3,12
744825,3,8
744826,4,3
744827,0,3
744828,0,4
744829,8,5
744830,5,4
744831,5,2
744832,3,8
744833,0,6
744834,1,0
744835,14,6
744836,6,7
744837,7,5
744838,2,7
744839,3,1
744840,7,9
744841,2,5
744842,3,1
744843,0,5
744844,2,5
744845,2,1
744846,4,0
744847,8,1
744848,7,3
744849,8,5
744850,3,6
744851,3,1
744852,1,9
744853,6,1
744854,7,8
744855,5,9
744856,2,3
744857,12,3
744858,6,7
744859,3,0
744860,0,10
744861,11,8
744862,3,6
744863,1,4
744864,2,11
744865,4,4
744866,6,0
744867,1,2
744868,9,3
744869,5,3
744870,4,7
744871,3,2
744872,3,5
744873,2,5
744874,0,4
744875,4,8
744876,5,6
744877,6,1
744878,1,8
744879,5,15
744880,1,3
744881,2,6
744882,3,3
744883,3,2
744884,7,2
744885,1,4
744886,6,2
744887,2,4
744888,2,3
744889,4,4
744890,3,1
744891,9,10
744892,8,2
744893,7,11
744894,5,3
744895,4,8
744896,10,3
744897,0,1
744898,3,6
744899,7,6
744900,3,1
744901,5,2
744902,7,3
744903,3,7
744904,2,4
744905,6,3
744906,5,5
744907,0,13
744908,7,3
744909,5,4
744910,3,7
744911,4,5
744912,3,5
744913,7,6
744914,1,3
744915,2,9
744916,1,8
744917,3,4
744918,3,7
744919,9,2
744920,3,7
744921,9,3
744922,5,16
744923,6,5
744924,1,3
744925,5,0
744926,7,6
744927,2,2
744928,3,3
744929,5,4
744930,2,7
744931,1,10
744932,1,8
744933,9,2
744934,3,4
744935,9,3
744936,0,5
744937,5,2
744938,4,5
744939,1,6
744940,2,3
744941,1,5
744942,1,4
744943,10,8
744944,5,4
744945,6,5
744946,2,4
744947,3,1
744948,4,6
744949,2,12
744950,1,6
744951,3,1
744952,5,0
744953,5,3
744954,4,12
744955,5,5
744956,5,2
744957,5,3
744958,4,8
744959,2,0
744960,2,8
744961,13,8
744962,0,4
744963,6,4
744964,10,6
744965,7,4
744966,3,1
744967,1,5
744968,3,4
744969,2,9
744970,3,4
744971,2,2
744972,4,8
744973,0,0
744974,3,4
744975,5,5
744976,4,3
744977,2,5
744978,0,4
744979,2,7
744980,2,3
744981,4,6
744982,2,3
744983,2,4
744984,2,1
744985,3,2
744986,6,11
744987,7,4
744988,3,3
744989,10,2
744990,1,9
744991,3,2
744992,3,0
744993,13,2
744994,4,8
744995,4,3
744996,1,3
744997,6,0
744998,4,6
744999,7,0
745000,4,0
745001,1,3
745002,5,3
745003,7,2
745004,6,7
745005,2,14
745006,6,2
745007,9,1
745008,2,5
745009,1,2
745010,1,3
745011,6,1
745012,1,4
745013,2,2
745014,4,7
745015,4,0
745016,3,9
745017,4,2
745018,7,1
745019,0,7
745020,4,8
745021,6,0
745022,4,3
745023,0,1
745024,6,2
745025,2,1
745026,0,4
745027,3,4
745028,5,1
745029,0,1
745030,3,4
745031,7,2
745032,1,3
745033,10,2
745034,5,10
745035,5,9
745036,4,3
745037,11,2
745038,3,2
745039,3,3
745040,1,2
745041,2,0
745042,3,4
745043,1,0
745044,8,3
745045,9,4
745046,4,5
745047,2,1
745048,3,4
745049,6,1
745050,11,4
745051,7,7
745052,5,13
745053,1,2
745054,4,4
745055,2,3
745056,5,7
745057,2,1
745058,1,6
745059,4,0
745060,9,3
745061,2,6
745062,1,4
745063,2,1
745064,2,0
745065,5,4
745066,2,0
745067,2,4
745068,2,3
745069,1,2
745070,3,1
745071,1,8
745072,5,0
745073,2,5
745074,5,3
745075,3,2
745076,11,3
745077,2,2
745078,4,3
745079,3,4
745080,2,5
745081,5,5
745082,0,5
745083,3,6
745084,3,3
745085,2,9
745086,4,7
745087,1,8
745088,4,1
745089,5,8
745090,2,5
745091,0,3
745092,6,10
745093,0,5
745094,0,2
745095,5,1
745096,7,2
745097,1,4
745098,8,2
745099,7,5
745100,3,1
745101,10,8
745102,2,4
745103,5,6
745104,2,1
745105,4,5
745106,3,7
745107,1,7
745108,6,6
745109,3,9
745110,2,11
745111,5,2
745112,2,1
745113,9,4
745114,1,4
745115,2,9
745116,2,8
745117,8,2
745118,2,1
745119,5,1
745120,2,3
745121,10,5
745122,3,1
745123,1,5
745124,6,5
745125,2,0
745126,0,3
745127,2,1
745128,4,10
745129,6,1
745130,4,0
745131,1,6
745132,5,7
745133,4,7
745134,3,3
745135,4,1
745136,2,3
745137,3,0
745138,6,6
745139,1,2
745140,5,2
745141,4,3
745142,5,2
745143,4,6
745144,6,7
745145,3,3
745146,8,10
745147,3,6
745148,10,1
745149,8,1
745150,3,14
745151,3,8
745152,11,3
745153,1,5
745154,2,0
745155,4,6
745156,5,8
745157,2,6
745158,4,1
745159,4,9
745160,4,3
745161,1,0
745162,4,11
745163,9,4
745164,6,5
745165,5,3
745166,5,6
745167,5,1
745168,4,3
745169,8,5
745170,1,2
745171,4,2
745172,4,3
745173,5,4
745174,2,3
745175,5,4
745176,7,6
745177,7,2
745178,10,6
745179,3,11
745180,3,1
745181,6,3
745182,3,4
745183,5,6
745184,0,6
745185,1,5
745186,5,7
745187,3,0
745188,5,1
745189,1,2
745190,5,12
745191,3,3
745192,0,2
745193,1,14
745194,3,5
745195,3,0
745196,3,4
745197,3,1
745198,3,10
745199,1,2
745200,8,5
745201,6,4
745202,2,0
745203,6,6
745204,3,2
745205,2,11
745206,7,0
745207,5,4
745208,4,5
745209,4,4
745210,3,7
745211,6,2
745212,4,3
745213,2,3
745214,5,2
745215,5,1
745216,12,1
745217,5,5
745218,3,4
745219,4,0
745220,6,0
745221,2,4
745222,0,6
745223,2,6
745224,10,2
745225,5,5
745226,1,3
745227,1,5
745228,0,3
745229,2,4
745230,6,4
745231,1,2
745232,1,3
745233,4,5
745234,1,4
745235,4,5
745236,7,3
745237,2,1
745238,2,2
745239,1,5
745240,0,2
745241,7,5
745242,5,0
745243,3,5
745244,4,3
745245,2,3
745246,1,1
745247,3,2
745248,4,4
745249,0,4
745250,1,1
745251,9,0
745252,5,1
745253,5,4
745254,3,2
745255,8,4
745256,6,2
745257,2,4
745258,4,2
745259,4,2
745260,3,2
745261,2,5
745262,1,8
745263,0,1
745264,8,1
745265,2,3
745266,3,1
745267,5,1
745268,9,3
745269,6,1
745270,3,1
745271,2,3
745272,1,4
745273,2,5
745274,4,2
745275,0,8
745276,1,0
745277,5,4
745278,3,3
745279,1,5
745280,3,6
745281,6,5
745282,1,6
745283,4,6
745284,0,8
745285,13,2
745286,0,5
745287,3,4
745288,0,3
745289,2,2
745290,4,6
745291,2,3
745292,5,7
745293,7,8
745294,5,3
745295,4,1
745296,3,4
745297,2,6
745298,6,0
745299,3,1
745300,0,1
745301,2,13
745302,3,4
745303,4,5
745304,3,1
745305,5,4
745306,1,0
745307,4,1
745308,2,2
745309,2,5
745310,5,0
745311,2,4
745312,7,1
745313,3,5
745314,2,2
745315,11,4
745316,3,3
745317,7,14
745318,6,10
745319,3,3
745320,10,4
745321,13,6
745322,5,1
745323,4,4
745324,3,5
745325,4,3
745326,6,8
745327,1,3
745328,5,3
745329,3,4
745330,5,7
745331,2,6
745332,3,7
745333,1,6
745334,3,3
745335,10,5
745336,4,1
745337,0,0
745338,8,4
745339,14,4
745340,2,4
745341,4,1
745342,2,10
745343,4,6
745344,5,1
745345,5,5
745346,2,8
745347,0,0
745348,5,1
745349,3,2
745350,3,4
745351,5,2
745352,1,17
745353,3,5
745354,7,3
745355,7,1
745356,5,0
745357,3,5
745358,4,2
745359,0,4
745360,6,2
745361,2,2
745362,3,2
745363,1,8
745364,2,2
745365,4,0
745366,3,4
745367,3,1
745368,6,7
745369,3,4
745370,5,5
745371,5,1
745372,3,6
745373,3,0
745374,7,5
745375,4,11
745376,2,2
745377,1,7
745378,7,0
745379,3,8
745380,5,3
745381,8,2
745382,3,0
745383,2,1
745384,10,2
745385,3,6
745386,8,1
745387,2,5
745388,3,2
745389,5,5
745390,1,6
745391,1,9
745392,4,0
745393,3,8
745394,0,2
745395,5,7
745396,2,6
